content,score,thumbsUpCount,reviewCreatedVersion,appVersion,at,cleaned_content
"Saya naik bus Rosalia Indah nomor lambung 3032 dari Terminal Kalideres ke Bawen. Tanpa saya sadari, charger laptop saya tertinggal di bus, dan baru saya ketahui saat tiba di rumah sekitar pukul 04.00 pagi. Pagi harinya saya menghubungi agen Terminal Bawen, dan sekitar pukul 08.00 saya mendapat kabar dari layanan Rosalia Indah Online bahwa charger saya sudah ditemukan dan akan dikirim ke agen Bawen. Terima kasih atas pelayanan yang cepat, ramah, dan profesional.",5,0,2.18.0,2.18.0,2025-10-07 08:51:36,bus rosalia indah nomor lambung terminal kalideres bawen sadar charger laptop tinggal bus tahu rumah pagi pagi hari hubung agen terminal bawen kabar layan rosalia indah online charger temu kirim agen bawen terima kasih layan cepat ramah profesional
mantap,5,0,2.17.0,2.17.0,2025-10-06 20:34:30,mantap
Excellen aplikasi tiket bus.. Tingkatkan terus untuk menjadi lebih baik..,5,0,2.18.0,2.18.0,2025-10-05 23:05:47,excellen aplikasi tiket bus tingkat
"kenapa sekarang makin susah sekali mau cek harga tiket,",4,0,2.18.0,2.18.0,2025-10-05 12:26:18,susah cek harga tiket
"aplikasi tidak bisa masuk, sudah klik daftar tapi tidak ada progres lanjutan, setelah loading muncul, stuck di bagian daftar tidak ada kelanjutannya",1,22,2.18.0,2.18.0,2025-10-04 00:32:29,aplikasi tidak klik daftar tidak progres lanjut loading muncul stuck daftar tidak lanjut
simpel mudah digunakan sangat membantu ngga perlu repot harus ke agen.,5,0,2.18.0,2.18.0,2025-10-03 18:46:31,simpel mudah bantu ngga repot agen
"beli tiket salah tanggal, chat CS 24 jam dan bukan robot. akhirnya gercep bisa di rescedule.. rekomended",5,0,2.18.0,2.18.0,2025-10-02 23:39:40,beli tiket salah tanggal chat cs jam bukan robot gercep rescedule rekomended
kenapa ada beberapa agen yang ga bisa dibuka?,2,0,2.18.0,2.18.0,2025-10-02 17:27:38,agen tidak buka
"aplikasi error tidak bisa memunculkan asal dari dan tujuan,udah di coba mau buat akun baru ehh malah ga bisa daftar bikin repot ketika sedang ingin berpergian",1,0,,Unknown,2025-10-01 22:25:50,aplikasi error tidak muncul tujuanudah coba akun ehh tidak daftar bikin repot pergi
"Sudah diperbaiki, jadi bisa pakai lagi.. Terima kasih",5,0,2.18.0,2.18.0,2025-10-01 17:14:45,baik pakai terima kasih
"Aplikasi yang sangat membantu dalam pemesanan.. bbrp kali melakukan booking Rosalia Indah selalu sukses.. lancar jaya. Yang perlu diperbaiki pada aplikasi ini.adalah ketika back di menu harus isi ulang data tujuan dan sebagainya.. btw aplikasi sangat bagus. Mantaab ROSALIA INDAH.. 🙏🙏🙏 dan tolong bus2 yang lama yang sudah ""tidak layak"" AKAP diganti bus2 yang baru.",5,1,2.17.0,2.17.0,2025-10-01 14:37:01,aplikasi bantu mesan bbrp booking rosalia indah sukses lancar jaya baik aplikasi iniadalah back menu isi ulang data tuju btw aplikasi bagus mantaab rosalia indah tolong bus tidak layak akap ganti bus
"Ga bisa update, apk nya ga bisa di update",3,0,2.17.0,2.17.0,2025-10-01 14:04:35,tidak update aplikasi tidak update
"katanya suruh update, udah di update masih belum bisa dibuka, ini gimna min?",1,0,2.17.0,2.17.0,2025-10-01 14:03:52,suruh update udah update buka gimna min
muncul pemberitahuan saat msk tp apk sudah diperbarui tetep tidak bisa dibuka parah,1,3,2.17.0,2.17.0,2025-10-01 13:09:45,muncul pemberitahuan msk aplikasi baru tetep tidak buka parah
aplikasi ini tidak bisa di buka setelah pembaharuan...,1,0,2.17.0,2.17.0,2025-10-01 13:00:14,aplikasi tidak buka baharu
mempermudah dalam mencari tiket,5,0,2.17.0,2.17.0,2025-10-01 12:39:34,mudah cari tiket
"apk gak mempermudah, sudah update minta lagi perbaharui versi",3,0,,Unknown,2025-10-01 11:53:59,aplikasi tidak mudah update baharu versi
all nice,5,0,2.17.0,2.17.0,2025-10-01 11:52:50,all nice
jelek ga bisa pesan tiket mau cari lokasi tujuan memuat trs,1,0,2.17.0,2.17.0,2025-09-30 12:55:26,jelek tidak pesan tiket cari lokasi tuju muat trs
Saya belum pernah menggunakan Sarana tranportasi Rosalia Indah..ini tapi tapi mengamati.lewat You Tube.Armada ini.Cukup bagus dan elegan serta sangat ..mantap.jika menggunakan tranportasi Rosalia Indah ..ini..,4,1,2.17.0,2.17.0,2025-09-29 18:31:52,sarana tranportasi rosalia indahini mengamatilewat you tubearmada inicukup bagus elegan mantapjika tranportasi rosalia indah
"sudah dapat redeem 25% tapi menunggu konfirmasi mulu, dapat kode ke email aja nggak lho, mohon diperbaiki bug nya",2,0,2.17.0,2.17.0,2025-09-28 14:23:53,redeem tunggu konfirmasi mulu kode email nggak lho baik bug
"Minta tolong armada yang ke Cimahi dan sekitarnya mungkin bisa di tambah , krn tiap mau pulkam ke solo selalu Full terus gak kebagian",2,0,,Unknown,2025-09-28 09:53:17,tolong armada cimahi pulkam solo full tidak bagi
Kenapa sering error Min?,2,0,2.17.0,2.17.0,2025-09-27 19:03:52,error min
armada yg keren n selalu on time,5,0,2.16.0,2.16.0,2025-09-27 08:22:28,armada keren on time
sangat membantu dan mudah difahami.,5,0,2.17.0,2.17.0,2025-09-27 06:34:29,bantu mudah difahami
"sudah normal seperti semula, sangat membantu. Tinggal dipertahankan 👍🙏",5,0,2.17.0,2.17.0,2025-09-27 06:03:52,normal bantu tinggal tahan
min kok skrng gak bisa bayar pakai spaylater sih,3,0,2.17.0,2.17.0,2025-09-26 21:40:47,admin skrng tidak bayar pakai spaylater sih
kok g bisa login si min?,2,0,2.17.0,2.17.0,2025-09-26 17:13:28,login si min
"gimana ini development, mau log in gabisa.",3,0,2.17.0,2.17.0,2025-09-26 16:11:03,gimana development log in gabisa
perbaiki lagi sistem nya lemottt banget,1,0,2.17.0,2.17.0,2025-09-26 10:21:28,baik sistem lemottt banget
ini apk nya sering banget ga bisa munculin jadwal bus nya padahal di cek sebelumnya ada pas mau di cek lagi tiba tiba ngga ada. tolong dong di perbaiki dan admin nya tolong lebih responsif,2,0,,Unknown,2025-09-24 20:03:41,aplikasi banget tidak munculin jadwal bus cek cek ngga tolong baik admin tolong responsif
pelayanan selalu ok dan bisa diandalkan,5,0,2.16.0,2.16.0,2025-09-24 17:56:06,layan ok andal
Alhamdulillah pengalaman perjalanan menyenangkan,5,0,2.16.0,2.16.0,2025-09-24 17:53:07,alhamdulillah alam jalan senang
"sudah mulai kecewa dengan Rosalia indah, jam karet",2,0,2.17.0,2.17.0,2025-09-24 14:59:02,kecewa rosalia indah jam karet
kenapa gak ada transfer dari bank BNI,5,0,2.17.0,2.17.0,2025-09-24 06:27:52,tidak transfer bank bni
ini aplikasi eror apa ya.gk bsa pesen online,1,0,2.17.0,2.17.0,2025-09-23 23:16:09,aplikasi eror yagk bsa sen online
"Sangat memudahkan bagi saya dan anak2 saya,armadanya bersih,nyaman.Pelayanan kru petugasnya ramah,sopan.Fasiitas utk makanannya enak.Tolong utk pembayaran tiket online ditambah banknya(BNI,ewalletnya jg)",5,3,2.16.0,2.16.0,2025-09-23 14:47:28,mudah anak sayaarmadanya bersihnyamanpelayanan kru tugas ramahsopanfasiitas makan enaktolong bayar tiket online tambah banknyabniewalletnya jg
"apk ini cukup memuaskan 1. menjauhi calo tiket, harga relatif murah ketentuan dari pusat nya di sebelah dgn bus yang tidak memadai di patok harga mahal karena agen nya pun main harga 2. pelayanan kru nya biasa aja kediri to bandung",5,6,2.16.0,2.16.0,2025-09-21 12:59:22,aplikasi muas jauh calo tiket harga relatif murah tentu pusat belah bus tidak pada patok harga mahal agen main harga layan kru diri to bandung
"pihak rosalia indah tidak bertanggung jawab dan menyalahkan pelanggan. dua kali pemesanan via aplikasi tapi malah nomor armadanya ternyata tidak ada, padahal sudah menunggu 1 jam. bila memang tidak siap dengan pemesanan via aplikasi tolong hapus saja atau jangan disediakan. sangat merugikan pelanggan",1,0,,Unknown,2025-09-21 03:14:45,rosalia indah tidak tanggung salah langgan mesan via aplikasi nomor armada tidak tunggu jam tidak mesan via aplikasi tolong hapus jangan sedia rugi langgan
mantap kalo bisa Adain rute Cilegon lasem,5,0,2.13.0,2.13.0,2025-09-18 23:33:47,mantap adain rute cilegon lasem
Aplikasinya bagus. Tapi tolong paging di screen history nya dibenerin dong. saya mau Lihat history lama buat klaim tiket gratis. Kalo udah dibenerin nanti ku kasih bintang 5. Makasih,2,1,2.16.0,2.16.0,2025-09-15 18:01:52,aplikasi bagus tolong paging screen history dibenerin history klaim tiket gratis udah dibenerin ku kasih bintang makasih
"apknya tidak bisa login via nomor telpon,untuk developer segera diperbaiki",3,0,,Unknown,2025-09-14 20:26:29,apknya tidak login via nomor telponuntuk developer baik
"yg kelas eksekutif perlu di perhatikan, sering mengalami trouble. yg parah perjalanan dari jakarta ke arah timur pernah suspensinya keras, di perut sakit terguncang keras, dan waktu tempuh jadi molor. ampun dah",1,0,2.16.0,2.16.0,2025-09-13 06:36:46,kelas eksekutif perhati alami trouble parah jalan jakarta arah timur suspensi keras perut sakit guncang keras waktu tempuh molor ampun dah
pelayanan ramah,5,0,,Unknown,2025-09-12 23:06:18,layan ramah
llllo,5,0,,Unknown,2025-09-12 21:26:17,llllo
"mohon untuk di perbaik lagii untuk app dulu tidak lemottt,,,,kenapa sekarang jadi sering lemottt sekaliiii",1,2,2.16.0,2.16.0,2025-09-10 18:35:12,baik lagi aplikasi tidak lemotttkenapa lemottt sekaliiii
setiap mau cek harga tiket gak pernah muncul ..,1,0,2.16.0,2.16.0,2025-09-10 17:25:39,cek harga tiket tidak muncul
"bis nya bagus,bersih ,nyaman awak bis nya ramah2",5,1,2.16.0,2.16.0,2025-09-10 17:19:49,bis bagusbersih nyaman awak bis ramah
"kenapa untuk Cikopo tidak bisa order via aplikasi lagi, padahal saya sekeluarga ordernya dr Cikopo",1,0,,Unknown,2025-09-10 14:28:49,cikopo tidak order via aplikasi keluarga order dr cikopo
Fasilitas atau service gak sesuai aplikasi dan tiket fisik. service makannya juga kurang enak,3,1,2.16.0,2.16.0,2025-09-10 06:25:02,fasilitas service tidak sesuai aplikasi tiket fisik service makan
agak kurang login,5,0,2.16.0,2.16.0,2025-09-08 16:03:55,login
emang aplikasinya lemot ya? mau daftar gak bisa bisa mau milih jurusan juga lemot banget pokonya apa apa lemot,1,1,2.16.0,2.16.0,2025-09-08 08:43:53,emang aplikasi lot daftar tidak milih jurus lot banget poko lot
maaf pengguna baru ..baru aja download terus pas login ngga bisa masuk sudah berulang ulang dan di ulang ulang hasil tetep sama ngga bisa masuk ke aplikasi,4,11,2.16.0,2.16.0,2025-09-07 21:52:28,maaf guna download login ngga ulang ulang ulang ulang hasil tetep ngga aplikasi
bermasalah terus,3,0,2.16.0,2.16.0,2025-09-07 18:49:58,masalah
untuk pelayanan paket sangat buruk tidak memuaskan untuk pelangan,1,0,2.16.0,2.16.0,2025-09-06 12:25:55,layan paket buruk tidak muas pelang
"sangat membantu dan mudah menggunakannya, saran saja, mungkin bisa ditambah fitur re-schedule dan cancel / re-fund",5,1,2.16.0,2.16.0,2025-09-03 18:22:33,bantu mudah guna saran tambah fitur reschedule cancel refund
Bersama ROSALIA INDAH NYAMAN AMAN dijalan,5,0,2.16.0,2.16.0,2025-09-03 06:12:45,rosalia indah nyaman aman jalan
setelah update malah ga bisa dibuka semua agennya. parahhh.....,1,18,2.16.0,2.16.0,2025-09-02 10:47:22,update tidak buka agen parahhh
banyak bug,1,0,2.16.0,2.16.0,2025-09-01 19:43:55,bug
aplikasi kok eror gak di cek dlu kalo upload,2,0,2.16.0,2.16.0,2025-09-01 09:54:03,aplikasi eror tidak cek dlu upload
bintang 4 karna belum bisa cetak e ticket dari app.,4,0,2.16.0,2.16.0,2025-08-31 21:31:34,bintang karna cetak ticket app
"mudah dan nyaman, perbaiki lagi aplikasinya, setelah update beberapa transaksi tidak masuk riwayat",4,1,2.16.0,2.16.0,2025-08-31 19:32:43,mudah nyaman baik aplikasi update transaksi tidak riwayat
pembayaran e wallet shopee kok gak ada ?? tolong perbaiki lagi..!!,2,0,2.16.0,2.16.0,2025-08-29 22:18:55,bayar wallet shopee tidak tolong baik
mau daftar gak bisa. erorr . tolong di perbaiki,2,0,,Unknown,2025-08-29 14:26:20,daftar tidak erorr tolong baik
"bus double deckernya panas cokk, nyesel bgt naiknya. udah naik PO lain aja yg adem",1,0,2.16.0,2.16.0,2025-08-28 23:04:14,bus double deckernya panas cokk nyesel banget naik udah po adem
kenapa ini tidak bisa memilih dan malah muter terus setelah update,1,1,2.16.0,2.16.0,2025-08-27 00:58:16,tidak pilih muter update
lagi error bukan?,1,0,2.16.0,2.16.0,2025-08-26 15:08:46,error bukan
aplikasi terkadang tidak bisa login dan daftar perjalanannya tidak ada.,2,0,,Unknown,2025-08-26 11:18:21,aplikasi terkadang tidak login daftar jalan tidak
loading terus gk bisa digunain,2,0,2.16.0,2.16.0,2025-08-25 06:57:48,loading tidak digunain
kok ngelag parah sih padahal aplikasi lain normal semua ini doang yang lag tolong diperbaiki🤦‍♂️,1,17,2.16.0,2.16.0,2025-08-24 20:55:50,ngelag parah sih aplikasi normal doang lag tolong baik
gabisa login,1,0,2.16.0,2.16.0,2025-08-24 13:27:13,gabisa login
"aplikasi nya Gk bisa di buka,buat daftar dan beli tiket",4,0,,Unknown,2025-08-23 18:08:48,aplikasi tidak bukabuat daftar beli tiket
cuma daftar ke akun baru di aplikasi Rosalia indah online tidak bisa ke daftar mohon segera mengatasi nya,3,0,2.16.0,2.16.0,2025-08-23 16:23:38,daftar akun aplikasi rosalia indah online tidak daftar atas
mau nyoba naik bis ini tapi blum kesampaian,5,0,2.16.0,2.16.0,2025-08-22 20:07:37,nyoba bis blum
aplikasi mudah di operasionalkan,5,0,2.15.0,2.15.0,2025-08-22 16:48:29,aplikasi mudah operasional
untuk mendaftarkan akun sulit dan banyak kendala,1,1,2.16.0,2.16.0,2025-08-22 10:21:47,daftar akun sulit kendala
"daritadi mau login gakbisa terus, dulu padahal udah punya akun dan sering beli tiket disini.",1,0,,Unknown,2025-08-22 06:48:16,daritadi login gakbisa udah akun beli tiket
"banyak pilihan rute trans java , keberangkatan pasti dan pelayanan okay, good job ROSIN smoga jaya jaya selalu",5,0,2.7.2,2.7.2,2025-08-21 20:51:49,pilih rute trans java berangkat layan okay good job rosin smoga jaya jaya
"apk sebelumnya sudah bagus, kita bisa cek posisi kendaraan meskipun seringnya tidak bergerak, sekarang malah di hilangkan sama sekali. Seharusnya kalau bisa malah ditambahkan seperti maps saat kita dalam perjalanan, jadi tahu kita posisi dimana, pemberhentian selanjutnya dimana.",5,0,,Unknown,2025-08-21 08:55:33,aplikasi bagus cek posisi kendara tidak gerak hilang maps jalan posisi mana henti mana
cukup efektif untuk pemesanan tiketnya,5,1,2.15.0,2.15.0,2025-08-21 00:17:33,efektif mesan tiket
Aplikasi Tidak Responsif,1,0,2.14.0,2.14.0,2025-08-20 18:38:58,aplikasi tidak responsif
"bus paling nyaman mudik dari pemalang lampung bolak balik terus rutin, mantap sangat rekomendasi, restauran nyaman dan bersih terjamin..",5,1,2.15.0,2.15.0,2025-08-20 16:37:38,bus nyaman mudik malang lampung bolak rutin mantap rekomendasi restauran nyaman bersih jamin
semenjak update aplikasi sama sekali tidak berfungsi tolong diperbaiki lebih baik lagi,1,2,2.14.0,2.14.0,2025-08-19 18:31:13,semenjak update aplikasi tidak fungsi tolong baik
pelayananya puas,5,0,2.14.0,2.14.0,2025-08-19 16:44:27,pelayananya puas
udah pake sinyal wifi tetep aja gak bisa masuk login coba lah diperbaiki lagi,1,14,2.14.0,2.14.0,2025-08-17 15:56:37,udah pake sinyal wifi tetep tidak login coba baik
sangat membantu......,4,0,2.13.0,2.13.0,2025-08-17 13:36:47,bantu
"armadanya kok beda2 ya interiornya, trus trakhir naik yg Doble Decker kok kamar mandi nya kuotor parah.",1,0,2.13.0,2.13.0,2025-08-16 01:43:29,armada beda interior trus trakhir doble decker kamar mandi kuotor parah
Informasinya lengkap,5,0,2.13.0,2.13.0,2025-08-15 19:12:24,informasi lengkap
fitur lacak lokasi bus sudah tidak ada,3,0,2.14.0,2.14.0,2025-08-15 18:31:47,fitur lacak lokasi bus tidak
saya klik daftat malah ga ada apa2 udah masukin nomor dan email.. ga ada respon di apk nya gitu2 aja coba di perbaiki lah..,2,16,2.14.0,2.14.0,2025-08-15 17:52:24,klik daftat tidak udah masukin nomor email tidak respon aplikasi gitu coba baik
armadanya suka molor,2,0,2.14.0,2.14.0,2025-08-15 00:13:40,armada suka molor
terimakasih selalu mengantarku Jember - Tegal,5,0,2.13.0,2.13.0,2025-08-13 11:56:35,terimakasih antar jember tegal
titik tujuan nya tidak ada yg sesuai masa saya pilih tujuan jogja nggak muncul sama sekali,1,0,2.14.0,2.14.0,2025-08-13 11:37:32,titik tuju tidak sesuai pilih tuju jogja nggak muncul
kok jadi lemot ya? UI jg pas milik kota jadi mentok bgt diatas ketutupan notch,3,0,2.13.0,2.13.0,2025-08-11 16:02:08,lot ui milik kota mentok banget atas tutup notch
saya buka pesen tiket buat tgl 4 September kok di penyimpanan ngga bisa,5,1,2.13.0,2.13.0,2025-08-10 19:44:25,buka sen tiket tgl september simpan ngga
sangat jelek tidak bisa masuk akun sudah benar juga ttp tidak bisa masuk,1,0,,Unknown,2025-08-07 23:05:40,jelek tidak akun ttp tidak
"beli online , jadwal diubah suka suka ga dikasih tahu",1,0,2.13.0,2.13.0,2025-08-07 12:58:32,beli online jadwal ubah suka suka tidak kasih
apk tdk berguna,1,0,2.13.0,2.13.0,2025-08-06 21:41:24,aplikasi tidak guna
"Pembayaran via va shopeepay malah tau tau kebuka shopee nya, padahal belom isi saldo",1,0,,Unknown,2025-07-30 15:58:30,bayar via va shopeepay tau tau buka shopee bom isi saldo
"mudah utk pesannya tampilan terlalu lebar, jadi susah mengetik rute",3,0,,Unknown,2025-07-29 19:43:06,mudah pesan tampil lebar susah etik rute
aplikasi kusut + error,1,0,2.13.0,2.13.0,2025-07-29 15:24:38,aplikasi kusut error
👍,4,0,2.11.0,2.11.0,2025-07-27 22:52:11,
aplikasinya lemot,1,0,2.13.0,2.13.0,2025-07-27 18:28:14,aplikasi lot
Aplikasi gak guna. dibuat login gak bisa cari jadwal gak bisa,1,2,2.13.0,2.13.0,2025-07-27 05:50:46,aplikasi tidak login tidak cari jadwal tidak
Cepat proses ticketingnya. Ada pilihan rute Jkt kp.rambutan ke Malang pool pada pagi hari jam 7.00 dan tiba pada hari itu juga jam 22.00. Mantapf👍🏽,5,0,,Unknown,2025-07-26 17:40:47,cepat proses ticketingnya pilih rute jkt kprambutan malang pool pagi jam jam mantapf
"nyari tiket ke wonogiri dari jakarta selalu ga tersedia, aplikasi sepertinya tidak selalu update, saran untuk menejemen kalo memang belum sanggup ngelola aplikasi sendiri mendingan juga jualan di aplikasi tiket lainnya lebih memudahkan konsumen dalam memesan tiket, contoh traveloka atau redbus",1,0,,Unknown,2025-07-26 09:07:02,nyari tiket wonogiri jakarta tidak sedia aplikasi tidak update saran menejemen sanggup ngelola aplikasi mending jual aplikasi tiket mudah konsumen mes tiket contoh traveloka redbus
aplikasi tidak bisa di akses,1,0,2.13.0,2.13.0,2025-07-25 19:27:33,aplikasi tidak akses
Sikap dan pelayanan agen menurut saya tidak baik kepada cust.,1,0,,Unknown,2025-07-23 13:00:56,sikap layan agen tidak cust
"kagak bisa masuk, aplikasinya seperti aplikasinya pemerintah sulit diakses dan banyak/sering banget gangguan.",1,7,2.13.0,2.13.0,2025-07-22 05:59:55,kagak aplikasi aplikasi perintah sulit akses banyaksering banget ganggu
pesen tiket gak bs terus,1,0,,Unknown,2025-07-21 13:23:21,sen tiket tidak
PO BANYAK MALING! MANAJEMENNYA GABISA PROFESIONAL!,1,0,2.13.0,2.13.0,2025-07-21 03:31:25,po maling manajemen gabisa profesional
lumayan,2,0,,Unknown,2025-07-20 22:06:05,lumayan
"Aneh setelah di Upgrade, buat pesan tiket malah tidak bisa.... Sudah berkali kali dan sudah di uinstall juga masih tetap saja tidak bisa buat pesen tiket, tolong di perbaiki lagi",1,0,,Unknown,2025-07-19 17:39:41,aneh upgrade pesan tiket tidak kali uinstall tidak sen tiket tolong baik
enggak rekomen,1,0,2.13.0,2.13.0,2025-07-19 15:08:13,rekomen
aplikasi GX jelas mau cari tiket ajj susah & lagi agen yg d rosin Subang d chat d tlfn GX ad respon,1,0,2.13.0,2.13.0,2025-07-18 11:27:32,aplikasi gx cari tiket ajj susah agen rosin subang chat tlfn gx ad respon
bus elite keamanan sulit,1,0,,Unknown,2025-07-16 19:30:55,bus elite aman sulit
ini bus dngn ke amanan barang paling serem.. cctv aja dlm bus kg berfungsi.. gmn ngejamin .. laptop mahasiswi ilang gak bisa di lacak .. serem ah naik bus ini,1,0,2.9.0,2.9.0,2025-07-16 15:24:38,bus dngn aman barang rem cctv bus kg fungsi gmn ngejamin laptop mahasiswi ilang tidak lacak rem ah bus
KEAMANANNYA SANGAT RENTAN. LEPAS TANGGUNG JAWAB JIKA BARANGMU HILANG DI DALAM BUS. SEBAIKNYA CARI OPSI NAIK BUS LAIN,1,1,2.13.0,2.13.0,2025-07-16 06:13:28,aman rentan lepas tanggung barang hilang bus cari opsi bus
jasa transportasi NO!!! Jasa Maling YESS!!!,1,1,,Unknown,2025-07-15 19:18:26,jasa transportasi no jasa maling yess
tolol t4 tunggu yg di luar dikasih spiker biar yg nunggu di luar kedengeran kalao dipanggil,4,0,2.13.0,2.13.0,2025-07-15 17:23:34,tolol tunggu kasih spiker biar nunggu kedengeran kalao panggil
gak bisa log in knp 😢udh di coba gak bisa2 pake nmr suami juga gak bisa,1,0,2.13.0,2.13.0,2025-07-15 16:23:14,tidak log in knp udh coba tidak pake nmr suami tidak
"ini aplikasi tiba tiba eror pas mau chek in, dan dari pihak agent juga kurang membantu, tolong Jangan sering eror seperti ini jadi kita tidak bisa melihat jam dan pembayaran keberangkatan kita tanggal 14 juli, jam 12.40, 2025 hari senin",1,1,2.13.0,2.13.0,2025-07-14 13:42:10,aplikasi eror chek in agent bantu tolong jangan eror tidak jam bayar berangkat tanggal juli jam senin
Rosalia alhamdulillah mantap jaya,5,0,2.13.0,2.13.0,2025-07-14 12:59:46,rosalia alhamdulillah mantap jaya
cacat aplikasinya ga bisa di buka setelah update,1,0,,Unknown,2025-07-14 12:18:58,cacat aplikasi tidak buka update
aplikasi eror,1,0,2.13.0,2.13.0,2025-07-12 12:07:30,aplikasi eror
"dulu bisa di tracking, skrang kok g bisa lg?",3,0,2.13.0,2.13.0,2025-07-12 09:31:10,tracking skrang lg
"di tiket jam 17;30 ,, jam 19:00 masih nunggu belum berangkat,,kacau",1,0,2.13.0,2.13.0,2025-07-11 19:01:40,tiket jam jam nunggu berangkatkacau
Tolong ac d benerin... Berasa mau ke arah antartika🗿 dan tolong bus juga kalau mau jalan d cek dlu biar gk Mogok..,3,0,2.13.0,2.13.0,2025-07-10 21:44:50,tolong ac benerin asa arah antartika tolong bus jalan cek dlu biar tidak mogok
pelayanan buruk Rosalia indah telat 5 menit gak ada tolerannya.tiket gak ada casback na sama sekali .semoga owner-nya baca biar pelayanan na LBH ditingkatkan lagi .,1,0,2.8.4,2.8.4,2025-07-09 10:24:36,layan buruk rosalia indah telat menit tidak tolerannyatiket tidak casback na moga ownernya baca biar layan na lbh tingkat
mantapp,5,0,,Unknown,2025-07-08 19:04:36,mantapp
"dah mngecewakan terus...Bus telat² terus datangnya...telat ½ jam msih ok lah... lha inih 1,5 kdang 2 jam...😡",1,1,2.13.0,2.13.0,2025-07-07 16:46:00,dah mngecewakan terusbus telat datangnyatelat jam msih ok lha inih kdang jam
mau cari lokasi titik keberangkatan dan tujuan susaaaaaah,1,0,2.13.0,2.13.0,2025-07-05 21:01:37,cari lokasi titik berangkat tuju susaaaaaah
gak bisa dipake...eror,1,0,2.13.0,2.13.0,2025-07-04 22:35:32,tidak dipakeeror
"Saya sangat suka ada aplikasi seperti ini untuk memudahkan pemesanan tiket dan kontrol perjalanan, tapi sayangnya tidak support lagi android 9 ke bawah, padahal di info aplikasi ditulis masih mendukung android versi 7 ke atas..hmmm...",5,6,2.13.0,2.13.0,2025-07-04 18:29:52,suka aplikasi mudah mesan tiket kontrol jalan sayang tidak support android info aplikasi tulis dukung android versi atashmmm
kenapa cari tiket gak ada terus? tolong jawab,3,0,2.13.0,2.13.0,2025-07-04 15:28:55,cari tiket tidak tolong
setelah update menu lacak bus kok jadi tidak ada,5,1,2.13.0,2.13.0,2025-07-03 10:59:44,update menu lacak bus tidak
"armada nyaman, berangkat dan sampai tepat waktu",5,0,2.13.0,2.13.0,2025-07-02 19:10:17,armada nyaman berangkat waktu
saya pelanggan setia Rosin...tapi kali ini saya sangat kecewa dengan PRAMUGARA bernama RENDRA... anak kemarin sore bentak bentak penumpang... jurusan Bogor Jogja sebaliknya nomer lambung 125 BO.1402...tolong di training ulang atau di pecat crew PRAMUGARA bernama RENDRA... jangan sampai penumpang semua kecewa dengan pelayanan muka gak enak dan marah marah ke penumpang karena telat 3 menit... nanti ulasannya saya akan tayangkan di youtube... supaya kapok dan tidak mengulangi prilaku buruknya,1,3,2.13.0,2.13.0,2025-07-02 17:46:38,langgan setia rosintapi kecewa pramugara nama rendra anak kemarin sore bentak bentak tumpang jurus bogor jogja nomer lambung botolong training ulang pecat crew pramugara nama rendra jangan tumpang kecewa layan muka tidak marah marah tumpang telat menit ulas tayang youtube kapok tidak ulang prilaku buruk
"sejauh ini bis ini yang paling nyaman sopir gas gasan lembut, namun begitu masuk tol baru wus. mantap",5,0,,Unknown,2025-07-01 16:54:28,bis nyaman sopir gas gas lembut tol wus mantap
