content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
Fasilitas atau service gak sesuai aplikasi dan tiket fisik. service makannya juga kurang enak,3,0,2.16.0,2025-09-10 06:25:02,fasilitas atau service gak sesuai aplikasi dan tiket fisik service makannya juga kurang enak,"['fasilitas', 'atau', 'service', 'gak', 'sesuai', 'aplikasi', 'dan', 'tiket', 'fisik', 'service', 'makannya', 'juga', 'kurang', 'enak']","['fasilitas', 'service', 'gak', 'sesuai', 'aplikasi', 'tiket', 'fisik', 'service', 'makannya']","['fasilitas', 'service', 'gak', 'sesuai', 'aplikasi', 'tiket', 'fisik', 'service', 'makan']",fasilitas service gak sesuai aplikasi tiket fisik service makan,"['fasilitas', 'service', 'sesuai', 'aplikasi', 'tiket', 'fisik', 'service', 'makan']",fasilitas service sesuai aplikasi tiket fisik service makan,Netral
agak kurang login,5,0,2.16.0,2025-09-08 16:03:55,agak kurang login,"['agak', 'kurang', 'login']",['login'],['login'],login,['login'],login,Positif
emang aplikasinya lemot ya? mau daftar gak bisa bisa mau milih jurusan juga lemot banget pokonya apa apa lemot,1,1,2.16.0,2025-09-08 08:43:53,emang aplikasinya lemot ya mau daftar gak bisa bisa mau milih jurusan juga lemot banget pokonya apa apa lemot,"['emang', 'aplikasinya', 'lemot', 'ya', 'mau', 'daftar', 'gak', 'bisa', 'bisa', 'mau', 'milih', 'jurusan', 'juga', 'lemot', 'banget', 'pokonya', 'apa', 'apa', 'lemot']","['emang', 'aplikasinya', 'lemot', 'daftar', 'gak', 'milih', 'jurusan', 'lemot', 'banget', 'pokonya', 'lemot']","['emang', 'aplikasi', 'lot', 'daftar', 'gak', 'milih', 'jurus', 'lot', 'banget', 'poko', 'lot']",emang aplikasi lot daftar gak milih jurus lot banget poko lot,"['emang', 'aplikasi', 'lot', 'daftar', 'milih', 'jurus', 'lot', 'poko', 'lot']",emang aplikasi lot daftar milih jurus lot poko lot,Negatif
maaf pengguna baru ..baru aja download terus pas login ngga bisa masuk sudah berulang ulang dan di ulang ulang hasil tetep sama ngga bisa masuk ke aplikasi,4,3,2.16.0,2025-09-07 21:52:28,maaf pengguna baru baru aja download terus pas login ngga bisa masuk sudah berulang ulang dan di ulang ulang hasil tetep sama ngga bisa masuk ke aplikasi,"['maaf', 'pengguna', 'baru', 'baru', 'aja', 'download', 'terus', 'pas', 'login', 'ngga', 'bisa', 'masuk', 'sudah', 'berulang', 'ulang', 'dan', 'di', 'ulang', 'ulang', 'hasil', 'tetep', 'sama', 'ngga', 'bisa', 'masuk', 'ke', 'aplikasi']","['maaf', 'pengguna', 'aja', 'download', 'pas', 'login', 'ngga', 'berulang', 'ulang', 'ulang', 'ulang', 'hasil', 'tetep', 'ngga', 'aplikasi']","['maaf', 'guna', 'aja', 'download', 'pas', 'login', 'ngga', 'ulang', 'ulang', 'ulang', 'ulang', 'hasil', 'tetep', 'ngga', 'aplikasi']",maaf guna aja download pas login ngga ulang ulang ulang ulang hasil tetep ngga aplikasi,"['maaf', 'download', 'login', 'ngga', 'ulang', 'ulang', 'ulang', 'ulang', 'hasil', 'tetep', 'ngga', 'aplikasi']",maaf download login ngga ulang ulang ulang ulang hasil tetep ngga aplikasi,Positif
bermasalah terus,3,0,2.16.0,2025-09-07 18:49:58,bermasalah terus,"['bermasalah', 'terus']",['bermasalah'],['masalah'],masalah,[],,Netral
untuk pelayanan paket sangat buruk tidak memuaskan untuk pelangan,1,0,2.16.0,2025-09-06 12:25:55,untuk pelayanan paket sangat buruk tidak memuaskan untuk pelangan,"['untuk', 'pelayanan', 'paket', 'sangat', 'buruk', 'tidak', 'memuaskan', 'untuk', 'pelangan']","['pelayanan', 'paket', 'buruk', 'memuaskan', 'pelangan']","['layan', 'paket', 'buruk', 'muas', 'pelang']",layan paket buruk muas pelang,"['layan', 'paket', 'buruk', 'muas', 'pelang']",layan paket buruk muas pelang,Negatif
"sangat membantu dan mudah menggunakannya, saran saja, mungkin bisa ditambah fitur re-schedule dan cancel / re-fund",5,0,2.16.0,2025-09-03 18:22:33,sangat membantu dan mudah menggunakannya saran saja mungkin bisa ditambah fitur reschedule dan cancel refund,"['sangat', 'membantu', 'dan', 'mudah', 'menggunakannya', 'saran', 'saja', 'mungkin', 'bisa', 'ditambah', 'fitur', 'reschedule', 'dan', 'cancel', 'refund']","['membantu', 'mudah', 'menggunakannya', 'saran', 'ditambah', 'fitur', 'reschedule', 'cancel', 'refund']","['bantu', 'mudah', 'guna', 'saran', 'tambah', 'fitur', 'reschedule', 'cancel', 'refund']",bantu mudah guna saran tambah fitur reschedule cancel refund,"['bantu', 'mudah', 'saran', 'fitur', 'reschedule', 'cancel', 'refund']",bantu mudah saran fitur reschedule cancel refund,Positif
Bersama ROSALIA INDAH NYAMAN AMAN dijalan,5,0,2.16.0,2025-09-03 06:12:45,bersama rosalia indah nyaman aman dijalan,"['bersama', 'rosalia', 'indah', 'nyaman', 'aman', 'dijalan']","['rosalia', 'indah', 'nyaman', 'aman', 'dijalan']","['rosalia', 'indah', 'nyaman', 'aman', 'jalan']",rosalia indah nyaman aman jalan,"['rosalia', 'indah', 'nyaman', 'aman', 'jalan']",rosalia indah nyaman aman jalan,Positif
setelah update malah ga bisa dibuka semua agennya. parahhh.....,1,2,2.16.0,2025-09-02 10:47:22,setelah update malah ga bisa dibuka semua agennya parahhh,"['setelah', 'update', 'malah', 'ga', 'bisa', 'dibuka', 'semua', 'agennya', 'parahhh']","['update', 'ga', 'dibuka', 'agennya', 'parahhh']","['update', 'ga', 'buka', 'agen', 'parahhh']",update ga buka agen parahhh,"['update', 'buka', 'agen', 'parahhh']",update buka agen parahhh,Negatif
banyak bug,1,0,2.16.0,2025-09-01 19:43:55,banyak bug,"['banyak', 'bug']",['bug'],['bug'],bug,['bug'],bug,Negatif
aplikasi kok eror gak di cek dlu kalo upload,2,0,2.16.0,2025-09-01 09:54:03,aplikasi kok eror gak di cek dlu kalo upload,"['aplikasi', 'kok', 'eror', 'gak', 'di', 'cek', 'dlu', 'kalo', 'upload']","['aplikasi', 'eror', 'gak', 'cek', 'dlu', 'kalo', 'upload']","['aplikasi', 'eror', 'gak', 'cek', 'dlu', 'kalo', 'upload']",aplikasi eror gak cek dlu kalo upload,"['aplikasi', 'eror', 'cek', 'dlu', 'upload']",aplikasi eror cek dlu upload,Negatif
bintang 4 karna belum bisa cetak e ticket dari app.,4,0,2.16.0,2025-08-31 21:31:34,bintang karna belum bisa cetak e ticket dari app,"['bintang', 'karna', 'belum', 'bisa', 'cetak', 'e', 'ticket', 'dari', 'app']","['bintang', 'karna', 'cetak', 'ticket', 'app']","['bintang', 'karna', 'cetak', 'ticket', 'app']",bintang karna cetak ticket app,"['bintang', 'karna', 'cetak', 'ticket', 'app']",bintang karna cetak ticket app,Positif
"mudah dan nyaman, perbaiki lagi aplikasinya, setelah update beberapa transaksi tidak masuk riwayat",4,0,2.16.0,2025-08-31 19:32:43,mudah dan nyaman perbaiki lagi aplikasinya setelah update beberapa transaksi tidak masuk riwayat,"['mudah', 'dan', 'nyaman', 'perbaiki', 'lagi', 'aplikasinya', 'setelah', 'update', 'beberapa', 'transaksi', 'tidak', 'masuk', 'riwayat']","['mudah', 'nyaman', 'perbaiki', 'aplikasinya', 'update', 'transaksi', 'riwayat']","['mudah', 'nyaman', 'baik', 'aplikasi', 'update', 'transaksi', 'riwayat']",mudah nyaman baik aplikasi update transaksi riwayat,"['mudah', 'nyaman', 'aplikasi', 'update', 'transaksi', 'riwayat']",mudah nyaman aplikasi update transaksi riwayat,Positif
pembayaran e wallet shopee kok gak ada ?? tolong perbaiki lagi..!!,2,0,2.16.0,2025-08-29 22:18:55,pembayaran e wallet shopee kok gak ada tolong perbaiki lagi,"['pembayaran', 'e', 'wallet', 'shopee', 'kok', 'gak', 'ada', 'tolong', 'perbaiki', 'lagi']","['pembayaran', 'wallet', 'shopee', 'gak', 'tolong', 'perbaiki']","['bayar', 'wallet', 'shopee', 'gak', 'tolong', 'baik']",bayar wallet shopee gak tolong baik,"['bayar', 'wallet', 'shopee', 'tolong']",bayar wallet shopee tolong,Negatif
mau daftar gak bisa. erorr . tolong di perbaiki,2,0,,2025-08-29 14:26:20,mau daftar gak bisa erorr tolong di perbaiki,"['mau', 'daftar', 'gak', 'bisa', 'erorr', 'tolong', 'di', 'perbaiki']","['daftar', 'gak', 'erorr', 'tolong', 'perbaiki']","['daftar', 'gak', 'erorr', 'tolong', 'baik']",daftar gak erorr tolong baik,"['daftar', 'erorr', 'tolong']",daftar erorr tolong,Negatif
"bus double deckernya panas cokk, nyesel bgt naiknya. udah naik PO lain aja yg adem",1,0,2.16.0,2025-08-28 23:04:14,bus double deckernya panas cokk nyesel bgt naiknya udah naik po lain aja yg adem,"['bus', 'double', 'deckernya', 'panas', 'cokk', 'nyesel', 'bgt', 'naiknya', 'udah', 'naik', 'po', 'lain', 'aja', 'yg', 'adem']","['bus', 'double', 'deckernya', 'panas', 'cokk', 'nyesel', 'bgt', 'naiknya', 'udah', 'po', 'aja', 'yg', 'adem']","['bus', 'double', 'deckernya', 'panas', 'cokk', 'nyesel', 'bgt', 'naik', 'udah', 'po', 'aja', 'yg', 'adem']",bus double deckernya panas cokk nyesel bgt naik udah po aja yg adem,"['bus', 'double', 'deckernya', 'panas', 'cokk', 'nyesel', 'po', 'adem']",bus double deckernya panas cokk nyesel po adem,Negatif
kenapa ini tidak bisa memilih dan malah muter terus setelah update,1,1,2.16.0,2025-08-27 00:58:16,kenapa ini tidak bisa memilih dan malah muter terus setelah update,"['kenapa', 'ini', 'tidak', 'bisa', 'memilih', 'dan', 'malah', 'muter', 'terus', 'setelah', 'update']","['memilih', 'muter', 'update']","['pilih', 'muter', 'update']",pilih muter update,"['pilih', 'muter', 'update']",pilih muter update,Negatif
lagi error bukan?,1,0,2.16.0,2025-08-26 15:08:46,lagi error bukan,"['lagi', 'error', 'bukan']",['error'],['error'],error,['error'],error,Negatif
aplikasi terkadang tidak bisa login dan daftar perjalanannya tidak ada.,2,0,,2025-08-26 11:18:21,aplikasi terkadang tidak bisa login dan daftar perjalanannya tidak ada,"['aplikasi', 'terkadang', 'tidak', 'bisa', 'login', 'dan', 'daftar', 'perjalanannya', 'tidak', 'ada']","['aplikasi', 'terkadang', 'login', 'daftar', 'perjalanannya']","['aplikasi', 'terkadang', 'login', 'daftar', 'jalan']",aplikasi terkadang login daftar jalan,"['aplikasi', 'terkadang', 'login', 'daftar', 'jalan']",aplikasi terkadang login daftar jalan,Negatif
loading terus gk bisa digunain,2,0,2.16.0,2025-08-25 06:57:48,loading terus gk bisa digunain,"['loading', 'terus', 'gk', 'bisa', 'digunain']","['loading', 'gk', 'digunain']","['loading', 'gk', 'digunain']",loading gk digunain,"['loading', 'digunain']",loading digunain,Negatif
kok ngelag parah sih padahal aplikasi lain normal semua ini doang yang lag tolong diperbaiki🤦‍♂️,1,14,2.16.0,2025-08-24 20:55:50,kok ngelag parah sih padahal aplikasi lain normal semua ini doang yang lag tolong diperbaiki,"['kok', 'ngelag', 'parah', 'sih', 'padahal', 'aplikasi', 'lain', 'normal', 'semua', 'ini', 'doang', 'yang', 'lag', 'tolong', 'diperbaiki']","['ngelag', 'parah', 'sih', 'aplikasi', 'normal', 'doang', 'lag', 'tolong', 'diperbaiki']","['ngelag', 'parah', 'sih', 'aplikasi', 'normal', 'doang', 'lag', 'tolong', 'baik']",ngelag parah sih aplikasi normal doang lag tolong baik,"['ngelag', 'parah', 'aplikasi', 'normal', 'doang', 'lag', 'tolong']",ngelag parah aplikasi normal doang lag tolong,Negatif
gabisa login,1,0,2.16.0,2025-08-24 13:27:13,gabisa login,"['gabisa', 'login']","['gabisa', 'login']","['gabisa', 'login']",gabisa login,"['gabisa', 'login']",gabisa login,Negatif
"aplikasi nya Gk bisa di buka,buat daftar dan beli tiket",4,0,,2025-08-23 18:08:48,aplikasi nya gk bisa di bukabuat daftar dan beli tiket,"['aplikasi', 'nya', 'gk', 'bisa', 'di', 'bukabuat', 'daftar', 'dan', 'beli', 'tiket']","['aplikasi', 'gk', 'bukabuat', 'daftar', 'beli', 'tiket']","['aplikasi', 'gk', 'bukabuat', 'daftar', 'beli', 'tiket']",aplikasi gk bukabuat daftar beli tiket,"['aplikasi', 'bukabuat', 'daftar', 'beli', 'tiket']",aplikasi bukabuat daftar beli tiket,Positif
cuma daftar ke akun baru di aplikasi Rosalia indah online tidak bisa ke daftar mohon segera mengatasi nya,3,0,2.16.0,2025-08-23 16:23:38,cuma daftar ke akun baru di aplikasi rosalia indah online tidak bisa ke daftar mohon segera mengatasi nya,"['cuma', 'daftar', 'ke', 'akun', 'baru', 'di', 'aplikasi', 'rosalia', 'indah', 'online', 'tidak', 'bisa', 'ke', 'daftar', 'mohon', 'segera', 'mengatasi', 'nya']","['daftar', 'akun', 'aplikasi', 'rosalia', 'indah', 'online', 'daftar', 'mengatasi']","['daftar', 'akun', 'aplikasi', 'rosalia', 'indah', 'online', 'daftar', 'atas']",daftar akun aplikasi rosalia indah online daftar atas,"['daftar', 'akun', 'aplikasi', 'rosalia', 'indah', 'online', 'daftar']",daftar akun aplikasi rosalia indah online daftar,Netral
mau nyoba naik bis ini tapi blum kesampaian,5,0,2.16.0,2025-08-22 20:07:37,mau nyoba naik bis ini tapi blum kesampaian,"['mau', 'nyoba', 'naik', 'bis', 'ini', 'tapi', 'blum', 'kesampaian']","['nyoba', 'bis', 'blum']","['nyoba', 'bis', 'blum']",nyoba bis blum,"['nyoba', 'bis', 'blum']",nyoba bis blum,Positif
aplikasi mudah di operasionalkan,5,0,2.15.0,2025-08-22 16:48:29,aplikasi mudah di operasionalkan,"['aplikasi', 'mudah', 'di', 'operasionalkan']","['aplikasi', 'mudah', 'operasionalkan']","['aplikasi', 'mudah', 'operasional']",aplikasi mudah operasional,"['aplikasi', 'mudah', 'operasional']",aplikasi mudah operasional,Positif
untuk mendaftarkan akun sulit dan banyak kendala,1,1,2.16.0,2025-08-22 10:21:47,untuk mendaftarkan akun sulit dan banyak kendala,"['untuk', 'mendaftarkan', 'akun', 'sulit', 'dan', 'banyak', 'kendala']","['mendaftarkan', 'akun', 'sulit', 'kendala']","['daftar', 'akun', 'sulit', 'kendala']",daftar akun sulit kendala,"['daftar', 'akun', 'sulit', 'kendala']",daftar akun sulit kendala,Negatif
"daritadi mau login gakbisa terus, dulu padahal udah punya akun dan sering beli tiket disini.",1,0,,2025-08-22 06:48:16,daritadi mau login gakbisa terus dulu padahal udah punya akun dan sering beli tiket disini,"['daritadi', 'mau', 'login', 'gakbisa', 'terus', 'dulu', 'padahal', 'udah', 'punya', 'akun', 'dan', 'sering', 'beli', 'tiket', 'disini']","['daritadi', 'login', 'gakbisa', 'udah', 'akun', 'beli', 'tiket']","['daritadi', 'login', 'gakbisa', 'udah', 'akun', 'beli', 'tiket']",daritadi login gakbisa udah akun beli tiket,"['daritadi', 'login', 'gakbisa', 'akun', 'beli', 'tiket']",daritadi login gakbisa akun beli tiket,Negatif
"banyak pilihan rute trans java , keberangkatan pasti dan pelayanan okay, good job ROSIN smoga jaya jaya selalu",5,0,2.7.2,2025-08-21 20:51:49,banyak pilihan rute trans java keberangkatan pasti dan pelayanan okay good job rosin smoga jaya jaya selalu,"['banyak', 'pilihan', 'rute', 'trans', 'java', 'keberangkatan', 'pasti', 'dan', 'pelayanan', 'okay', 'good', 'job', 'rosin', 'smoga', 'jaya', 'jaya', 'selalu']","['pilihan', 'rute', 'trans', 'java', 'keberangkatan', 'pelayanan', 'okay', 'good', 'job', 'rosin', 'smoga', 'jaya', 'jaya']","['pilih', 'rute', 'trans', 'java', 'berangkat', 'layan', 'okay', 'good', 'job', 'rosin', 'smoga', 'jaya', 'jaya']",pilih rute trans java berangkat layan okay good job rosin smoga jaya jaya,"['pilih', 'rute', 'trans', 'java', 'berangkat', 'layan', 'okay', 'good', 'job', 'rosin', 'smoga', 'jaya', 'jaya']",pilih rute trans java berangkat layan okay good job rosin smoga jaya jaya,Positif
